"condition","title","phase","sponsor","sponsor_class"
"Schizophrenia","Randomized, Open Label, 8-Week Study of Quetiapine and Risperidone on Quality of Life in Female With Schizophrenia","PHASE4","Inje University","OTHER"
"Schizophrenia","A Double-Blind Randomized Comparison of the Efficacy and Safety of Intramuscular Olanzapine and Intramuscular Haloperidol in Acutely Agitated Patients With Schizophrenia","PHASE3","Eli Lilly and Company","INDUSTRY"
"Schizophrenia","A Multicenter, Double-Blind, Flexible-Dose, 6-Month Extension Trial Comparing the Safety and Efficacy of Asenapine With Olanzapine in Subjects Who Completed Protocol A7501013","PHASE3","Organon and Co","INDUSTRY"
"Schizophrenia","Adapting a Physical Activity Intervention for Schizophrenia","PHASE3","Veterans Medical Research Foundation","OTHER"
"Schizophrenia","A Phase III Randomized, Double-blind, Placebo-controlled Parallel Group Trial to Examine the Efficacy and Safety of Iclepertin Once Daily Over 26 Week Treatment Period in Patients With Schizophrenia (CONNEX-3)","PHASE3","Boehringer Ingelheim","INDUSTRY"
"Schizophrenia","NO TITLE","PHASE1","Sumitomo Pharma America, Inc.","INDUSTRY"
"Schizophrenia","A Phase 2, Multicenter, Double-blind, Randomized, Fixed Dose, Parallel Group, 3-week Inpatient Treatment Study To Evaluate The Safety, Efficacy And Pharmacokinetics Of Pf-02545920 Compared With Placebo In The Treatment Of Acute Exacerbation Of Schizophrenia","PHASE2","Pfizer","INDUSTRY"
"Schizophrenia","A Placebo-Controlled Trial of CX516 (Ampakine) Added to Clozapine, Olanzapine or Risperidone in Patients With Schizophrenia","PHASE2","North Suffolk Mental Health Association","OTHER"
"Schizophrenia","Randomized Trial of a Smoking Cessation Program for Persons With SMI","PHASE2","US Department of Veterans Affairs","FED"
"Schizophrenia","Switching Antipsychotics: Abrupt Discontinuation Versus Overlap","PHASE4","Centre for Addiction and Mental Health","OTHER"
"Schizophrenia","Risperidone Versus Haloperidol Versus Placebo in the Treatment of Chronic Schizophrenia","PHASE3","Janssen, LP","INDUSTRY"
"Schizophrenia","An Open-Label, Single Ascending Dose Pharmacokinetic and Safety Study of LY03004 Following Escalating Single Intramuscular Injection in Stable Patients With Schizophrenia or Schizoaffective Disorder","PHASE1","Luye Pharma Group Ltd.","INDUSTRY"
"Schizophrenia","A Randomized, Double-Blind, Placebo Controlled, 3-period, Proof of Mechanism, Cross-Over Study of Roflumilast Administered up to Steady State to Evaluate the Effects of Add-on Roflumilast to Second Generation Antipsychotics on Cognitive Impairment as Well as Brain Imaging (ie, fMRI) and Electrical Activity (ie, EEG) Changes Observed in Subjects With Stable Schizophrenia","PHASE1","Takeda","INDUSTRY"
"Schizophrenia","A 24-Week, Multicenter, Double-Blind, Randomized, Parallel-Group, Dose Ranging Study of the Efficacy and Safety of 3 Oral Doses of AVE1625 and Placebo on Top of Either Olanzapine, Risperidone/Paliperidone, Quetiapine or Aripiprazole in the Treatment of Cognitive Impairment in Schizophrenia.","PHASE2","Sanofi","INDUSTRY"
"Schizophrenia","D-serine Augmentation of Neuroplasticity Based Auditory Learning in Schizophrenia","PHASE1","New York State Psychiatric Institute","OTHER"
"Schizophrenia","A Single-dose, Open-label, Parallel Group, Matched Study Evaluating the Pharmacokinetics of Oral OPC-34712 Tablet in Subjects With Normal Hepatic Function and Hepatically Impaired Subjects","PHASE1","Otsuka Pharmaceutical Development & Commercialization, Inc.","INDUSTRY"
"Schizophrenia","CHANGE.A Randomized Clinical Trial of Health Promoting Programme Versus Standard Treatment for Patients With Schizophrenia","PHASE3","Mental Health Centre Copenhagen, Bispebjerg and Frederiksberg Hospital","OTHER"
"Schizophrenia","A Phase IIa, Randomized, Double-Blind, Placebo-Controlled, 2-Period, Cross-Over Clinical Trial to Study the Safety and Efficacy of MK0249 for the Treatment of Cognitive Impairment in Patients With Schizophrenia","PHASE2","Merck Sharp & Dohme LLC","INDUSTRY"
"Schizophrenia","Ocrelizumab for Psychoses Possibly Caused by Synaptic Autoimmunity","PHASE1","The Methodist Hospital Research Institute","OTHER"
"Schizophrenia","A Comparative Evaluation of the Pharmacokinetics and Pharmacodynamics Under Fasting and Fed Conditions of 2 Paliperidone Extended-release Formulations With Paliperidone Oral Solution in Healthy Adults","PHASE1","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.","INDUSTRY"
"Schizophrenia","Evaluation of the Safety and Efficacy of RGH-188 in the Acute Exacerbation of Schizophrenia","PHASE2","Forest Laboratories","INDUSTRY"
"Schizophrenia","A Phase IIa, Randomized, Double-Blind, Placebo-Controlled Clinical Trial of the Efficacy and Safety of MK-8189 Using Risperidone as an Active Control in Subjects Experiencing an Acute Episode of Schizophrenia","PHASE2","Merck Sharp & Dohme LLC","INDUSTRY"
"Schizophrenia","Translational Neuroscience Optimization of GlyT1 Inhibitor","PHASE2","Yale University","OTHER"
"Schizophrenia","Effectiveness of Antipsychotic Combination With Psychosocial Intervention on Outcome of Patients With Schizophrenia:One-Year Follow up.","PHASE4","Central South University","OTHER"
"Schizophrenia","A Placebo-Controlled Trial of Folate With B12 in Patients With Schizophrenia With Residual Symptoms in Ethiopia","PHASE4","Massachusetts General Hospital","OTHER"
"Schizophrenia","A Pilot-Study in Rwandan Health Care Settings to Examine the Feasibility of a Large Pragmatic Clinical Study to Assess the Value of Paliperidone Palmitate in Rwanda","PHASE4","Janssen Research & Development, LLC","INDUSTRY"
"Schizophrenia","NO TITLE","PHASE3","AstraZeneca","INDUSTRY"
